,url,categories,season
142,https://www.thespruceeats.com/centennial-punch-recipe-761343,"['Whiskey Cocktails', 'Alcoholic Punch Recipes', 'Citrus Recipes', 'Pineapple Recipes']",
143,https://www.thespruceeats.com/central-park-cocktail-recipe-760064,"['Gin Cocktails', 'American Food', 'Citrus Recipes', 'Tomatoes Recipes']",
144,https://www.thespruceeats.com/champagne-and-chambord-cocktail-759619,"['Liqueurs', 'Champagne & Sparkling Wines', 'French Food']",
145,https://www.thespruceeats.com/champagne-bowler-recipe-759419,"['Brandy Cocktails', 'Cocktails', 'White Wines', 'Berry Recipes']",
146,https://www.thespruceeats.com/champagne-cocktail-recipe-759288,"['Drinks & Cocktails', 'American Food']",
147,https://www.thespruceeats.com/champagne-punch-recipes-759621,"['Alcoholic Punch Recipes', 'Cocktails', 'Winter Drinks Cocktails']",winter
148,https://www.thespruceeats.com/charlie-chaplin-cocktail-759420,"['Drinks & Cocktails', 'American Food', 'Citrus Recipes']",
149,https://www.thespruceeats.com/chartreuse-martini-recipe-760068,"['Gin Cocktails', 'American Food']",
150,https://www.thespruceeats.com/cherry-gin-and-tonic-2216220,"['Gin Cocktails', 'American Cooking Basics', 'Citrus Recipes']",
151,https://www.thespruceeats.com/cherry-blossom-tini-recipe-759624,"['Liqueurs', 'Cocktail Basics', 'American Food', 'Citrus Recipes']",
152,https://www.thespruceeats.com/cherry-cobbler-cocktail-recipe-761430,"['Whiskey Cocktails', 'American Food', 'Pineapple Recipes']",
153,https://www.thespruceeats.com/cherry-lane-cocktail-760955,"['Vodka Cocktails', 'Cocktails', 'Citrus Recipes']",
154,https://www.thespruceeats.com/cherubs-cup-cocktail-recipe-761026,"['Vodka Cocktails', 'Cocktails', 'Gin Cocktails', 'Berry Recipes', 'Citrus Recipes']",
155,https://www.thespruceeats.com/chi-chi-frozen-cocktail-recipe-759625,"['Vodka Cocktails', 'American Food', 'Pineapple Recipes', 'July 4th Drinks']",summer
156,https://www.thespruceeats.com/classic-chicago-fizz-recipe-760508,"['Rum Cocktails', 'American Food', 'Citrus Recipes', 'Cocktail Party Drinks']",
157,https://www.thespruceeats.com/children-of-the-corn-cocktail-recipe-759057,"['Vodka Cocktails', 'American Food', 'Citrus Recipes', 'Halloween Drinks']",fall
158,https://www.thespruceeats.com/chimayo-cocktail-recipe-760764,"['Tequila Cocktails', 'Cocktails', 'American Food', 'Apple Recipes', 'Citrus Recipes']",
159,https://www.thespruceeats.com/chocolate-and-orange-martini-recipe-759623,"['Vodka Cocktails', 'American Food']",
160,https://www.thespruceeats.com/chocolate-kiss-recipe-759629,"['Liqueurs', 'American Food']",
161,https://www.thespruceeats.com/chocolate-margarita-760765,"['Tequila Cocktails', 'American Food', 'Citrus Recipes']",
